698 79.2028
JAR_330 115 19.970024
JAR_331 49 10.754431
JAR_332 78 31.836748
JAR_333 105 15.119225
JAR_334 96 40.145836
JAR_335 27 20.47284
JAR_336 58 31.925934
JAR_337 105 22.673367
JAR_338 64 23.823788
JAR_339 76 25.820206
JAR_340 95 1.9154257
JAR_341 77 6.3117476
JAR_342 25 42.24974
JAR_343 74 41.172913
JAR_344 86 35.051193
JAR_345 32 49.655056
JAR_346 116 27.060696
JAR_347 77 41.97726
JAR_348 75 19.099382
JAR_349 62 34.94758
JAR_350 119 9.798597
JAR_351 73 37.075672
JAR_352 80 30.85131
JAR_353 65 6.064074
JAR_354 59 29.405062
JAR_355 27 4.2443423
JAR_356 119 52.434597
JAR_357 102 24.506481
JAR_358 21 18.903658
JAR_359 100 3.3553078
JAR_360 74 45.249504
JAR_361 91 44.415768
JAR_362 39 46.601395
JAR_363 76 24.90073
JAR_364 88 45.074703
JAR_365 76 37.64941
JAR_366 68 17.46602
JAR_367 37 16.54237
JAR_368 88 6.0115485
JAR_369 28 48.499813
JAR_370 40 5.160817
JAR_371 61 30.174076
JAR_372 64 5.8610477
JAR_373 62 24.354107
JAR_374 59 38.24351
JAR_375 41 34.410233
JAR_376 60 1.952618
JAR_377 86 50.920692
JAR_378 79 23.660934
JAR_379 42 27.538013
JAR_380 50 32.168816
JAR_381 111 43.172943
JAR_382 84 41.7961
JAR_383 56 21.496353
JAR_384 116 24.535141
JAR_385 81 7.9854345
JAR_386 61 28.949287
JAR_387 106 44.56954
JAR_388 32 33.169113
JAR_389 117 6.5630856
JAR_390 26 30.55984
JAR_391 20 15.508272
JAR_392 43 38.307667
JAR_393 67 34.888645
JAR_394 55 15.400263
JAR_395 84 21.51615
JAR_396 76 51.257122
JAR_397 117 1.9388614
JAR_398 114 49.299297
JAR_399 115 6.3643885
JAR_400 21 46.734756
JAR_401 111 49.544765
JAR_402 119 49.47557
JAR_403 47 42.32275
JAR_404 97 27.396223
JAR_405 63 34.196438
JAR_406 43 46.28852
JAR_407 109 12.619503
JAR_408 43 25.167873
JAR_409 85 30.617638
JAR_410 52 45.23819
JAR_411 118 6.3683343
JAR_412 49 10.72817
JAR_413 40 36.16074
JAR_414 58 31.27052
JAR_415 49 21.82512
JAR_416 89 3.1073184
JAR_417 112 43.29729
JAR_418 102 3.3698633
JAR_419 42 49.06241
JAR_420 106 17.299255
JAR_421 50 18.704649
JAR_422 108 42.84524
JAR_423 42 25.674528
JAR_424 108 13.605144
JAR_425 115 7.174035
JAR_426 83 21.1421
JAR_427 100 44.05121
JAR_428 41 25.252502
JAR_429 44 27.090452
JAR_430 39 2.2360985
JAR_431 82 21.68262
JAR_432 41 38.059116
JAR_433 25 1.3597916
JAR_434 66 47.69068
JAR_435 60 8.183666
JAR_436 111 29.535873
JAR_437 22 31.783579
JAR_438 86 43.384968
JAR_439 69 7.0505095
JAR_440 50 23.34767
JAR_441 102 3.9067066
JAR_442 71 25.84369
JAR_443 76 49.787136
JAR_444 45 27.876495
JAR_445 71 35.888577
JAR_446 90 11.22575
JAR_447 79 41.6649
JAR_448 94 48.255894
JAR_449 96 14.573018
JAR_450 31 35.753075
JAR_451 39 39.802917
JAR_452 119 14.970885
JAR_453 84 14.457379
JAR_454 112 51.886414
JAR_455 119 46.78221
JAR_456 104 49.242523
JAR_457 36 22.286198
JAR_458 64 4.2796836
JAR_459 55 6.1314945
JAR_460 47 10.541214
JAR_461 112 19.119814
JAR_462 77 11.969557
JAR_463 30 31.947475
JAR_464 120 3.2979503
JAR_465 59 48.153347
JAR_466 109 31.781864
JAR_467 85 45.63759
JAR_468 65 44.307575
JAR_469 94 11.986396
JAR_470 118 32.361515
JAR_471 93 6.298021
JAR_472 108 29.243254
JAR_473 51 33.168877
JAR_474 74 28.157545
JAR_475 113 35.96495
JAR_476 116 20.926262
JAR_477 20 18.773382
JAR_478 41 2.4199367
JAR_479 58 10.301879
JAR_480 50 22.720242
JAR_481 49 6.66944
JAR_482 49 17.58985
JAR_483 74 44.910923
JAR_484 25 3.5440722
JAR_485 79 11.200084
JAR_486 95 3.4899147
JAR_487 92 37.080997
JAR_488 116 30.422497
JAR_489 42 48.186115
JAR_490 33 9.046217
JAR_491 114 26.610762
JAR_492 109 18.218622
JAR_493 33 6.0084476
JAR_494 65 23.198616
JAR_495 49 22.869198
JAR_496 96 4.1174684
JAR_497 37 17.043905
JAR_498 117 22.481043
JAR_499 99 10.081753
JAR_500 33 20.45468
JAR_501 79 47.154915
JAR_502 67 43.478424
JAR_503 54 34.8549
JAR_504 29 37.40955
JAR_505 21 50.05843
JAR_506 86 39.891838
JAR_507 66 36.277046
JAR_508 25 49.506508
JAR_509 32 45.524517
JAR_510 67 14.968604
JAR_511 112 15.158623
JAR_512 89 33.59419
JAR_513 91 6.1799574
JAR_514 86 9.478887
JAR_515 27 23.199306
JAR_516 39 31.796232
JAR_517 108 14.817285
JAR_518 102 51.245487
JAR_519 26 29.99523
JAR_520 56 10.152993
JAR_521 81 38.334644
JAR_522 97 31.158455
JAR_523 98 46.42408
JAR_524 61 28.598213
JAR_525 115 11.056861
JAR_526 21 47.731163
JAR_527 56 23.670967
JAR_528 58 39.53989
JAR_529 56 9.61308
JAR_530 72 30.879475
JAR_531 95 34.682972
JAR_532 83 30.23944
JAR_533 49 6.5714355
JAR_534 38 33.43068
JAR_535 61 26.465248
JAR_536 95 5.808269
JAR_537 102 36.656063
JAR_538 91 26.693768
JAR_539 53 34.756565
JAR_540 103 40.66595
JAR_541 105 31.896912
JAR_542 97 49.94778
JAR_543 104 21.247211
JAR_544 23 23.529129
JAR_545 74 31.287682
JAR_546 75 37.529778
JAR_547 113 45.327103
JAR_548 102 16.325243
JAR_549 74 46.95235
JAR_550 43 45.12915
JAR_551 32 7.4770355
JAR_552 42 5.6502914
JAR_553 65 10.245618
JAR_554 114 19.41983
JAR_555 21 9.74094
JAR_556 43 44.114716
JAR_557 79 28.837683
JAR_558 27 12.187149
JAR_559 120 31.742035
JAR_560 119 47.54658
JAR_561 109 18.758755
JAR_562 56 8.730872
JAR_563 112 44.63078
JAR_564 53 14.546144
JAR_565 79 45.403675
JAR_566 93 40.851116
JAR_567 85 5.2775073
JAR_568 28 11.31104
JAR_569 110 1.4220283
JAR_570 116 36.34878
JAR_571 90 6.647639
JAR_572 119 46.97612
JAR_573 119 32.444176
JAR_574 107 49.69713
JAR_575 68 52.322353
JAR_576 35 28.837166
JAR_577 114 5.118545
JAR_578 36 43.66614
JAR_579 102 13.252616
JAR_580 69 50.95257
JAR_581 51 18.360619
JAR_582 75 46.106327
JAR_583 97 29.859459
JAR_584 75 51.242153
JAR_585 99 21.438974
JAR_586 70 31.22357
JAR_587 114 45.118393
JAR_588 76 39.627243
JAR_589 95 52.44879
JAR_590 102 16.101723
JAR_591 95 39.89085
JAR_592 94 9.281151
JAR_593 112 7.2482004
JAR_594 21 3.9545271
JAR_595 62 40.890533
JAR_596 33 40.984222
JAR_597 68 16.357874
JAR_598 24 34.01354
JAR_599 84 10.4976
JAR_600 78 46.10254
JAR_601 120 6.449243
JAR_602 104 46.483677
JAR_603 23 48.258514
JAR_604 62 42.934475
JAR_605 65 11.271738
JAR_606 101 2.023057
JAR_607 34 12.934517
JAR_608 43 27.194223
JAR_609 112 39.49444
JAR_610 52 41.12873
JAR_611 54 46.58655
JAR_612 86 49.226402
JAR_613 103 12.6625185
JAR_614 74 19.934986
JAR_615 110 6.6095853
JAR_616 118 46.07095
JAR_617 109 42.793896
JAR_618 61 28.955833
JAR_619 47 31.054173
JAR_620 38 15.322385
JAR_621 108 49.466442
JAR_622 80 25.728344
JAR_623 44 12.2981825
JAR_624 79 1.9526112
JAR_625 35 37.571205
JAR_626 75 8.338446
JAR_627 60 24.856565
JAR_628 44 48.991386
JAR_629 75 9.931932
JAR_630 38 15.035853
JAR_631 35 21.042053
JAR_632 91 19.283604
JAR_633 93 40.81642
JAR_634 94 17.46975
JAR_635 61 45.114685
JAR_636 20 29.16754
JAR_637 73 23.189962
JAR_638 92 44.40186
JAR_639 59 23.483053
JAR_640 90 41.84317
JAR_641 88 51.786327
JAR_642 45 13.478574
JAR_643 46 48.145138
JAR_644 63 2.5247574
JAR_645 113 5.7967014
JAR_646 119 43.96875
JAR_647 91 31.38166
JAR_648 72 12.196774
JAR_649 71 37.101917
JAR_650 67 35.49883
JAR_651 69 33.63981
JAR_652 46 49.61737
JAR_653 64 40.498394
JAR_654 93 29.541916
JAR_655 72 14.370247
JAR_656 30 46.538483
JAR_657 32 42.69319
JAR_658 50 10.442459
JAR_659 50 25.605284
JAR_660 109 5.336755
JAR_661 43 22.568531
JAR_662 30 21.483187
JAR_663 64 34.091118
JAR_664 94 14.974376
JAR_665 103 47.84121
JAR_666 100 47.925903
JAR_667 97 7.0120125
JAR_668 59 34.03401
JAR_669 39 35.76728
JAR_670 75 3.8828313
JAR_671 48 37.069324
JAR_672 115 40.596954
JAR_673 109 48.667385
JAR_674 57 18.800095
JAR_675 97 39.00325
JAR_676 59 32.958626
JAR_677 114 47.17316
JAR_678 65 52.260033
JAR_679 24 50.170223
JAR_680 58 44.90058
JAR_681 38 37.62006
JAR_682 29 33.233944
JAR_683 25 26.01377
JAR_684 30 44.26316
JAR_685 42 23.837023
JAR_686 44 39.841908
JAR_687 48 34.79183
JAR_688 40 6.7879186
JAR_689 63 7.20836
JAR_690 90 48.50136
JAR_691 33 24.548311
JAR_692 36 8.32397
JAR_693 28 35.20826
JAR_694 63 25.371012
JAR_695 66 41.041897
JAR_696 70 37.417404
JAR_697 63 3.6332893
835 51.337364
JAR_0 38 23.403828
JAR_1 27 17.543554
JAR_2 97 11.9517145
JAR_3 42 36.401005
JAR_4 45 17.720705
JAR_5 46 10.750164
JAR_6 113 22.054049
JAR_7 22 5.7481856
JAR_8 81 52.529522
JAR_9 103 7.1831136
JAR_10 111 26.516285
JAR_11 70 3.897572
JAR_12 47 43.922657
JAR_13 89 37.59618
JAR_14 81 34.377296
JAR_15 45 19.046474
JAR_16 48 48.3841
JAR_17 105 26.31993
JAR_18 87 45.69202
JAR_19 20 25.709572
JAR_20 42 11.22488
JAR_21 101 4.4038224
JAR_22 21 27.023582
JAR_23 65 39.992325
JAR_24 84 10.863201
JAR_25 93 36.72886
JAR_26 67 44.620907
JAR_27 95 13.978908
JAR_28 73 43.68716
JAR_29 41 39.634945
JAR_30 79 16.832241
JAR_31 74 8.691285
JAR_32 72 48.662918
JAR_33 87 37.532085
JAR_34 63 47.829967
JAR_35 98 20.601072
JAR_36 39 11.57623
JAR_37 81 34.68959
JAR_38 29 9.047064
JAR_39 79 29.400837
JAR_40 105 1.620219
JAR_41 52 25.022364
JAR_42 33 22.950668
JAR_43 118 26.766459
JAR_44 84 5.8672924
JAR_45 105 8.618505
JAR_46 34 28.20307
JAR_47 49 3.8672092
JAR_48 95 4.2880797
JAR_49 33 50.47728
JAR_50 34 3.8855665
JAR_51 63 42.105183
JAR_52 42 22.605295
JAR_53 95 19.351652
JAR_54 82 32.18555
JAR_55 66 48.790718
JAR_56 73 15.695401
JAR_57 90 42.514523
JAR_58 57 7.372226
JAR_59 24 26.085442
JAR_60 112 11.375981
JAR_61 27 6.1927485
JAR_62 54 42.911358
JAR_63 100 30.169613
JAR_64 42 33.841694
JAR_65 80 35.23819
JAR_66 41 25.094406
JAR_67 86 16.415352
JAR_68 92 5.7367067
JAR_69 56 50.929813
JAR_70 77 6.2824864
JAR_71 80 35.672447
JAR_72 119 45.87652
JAR_73 47 7.026082
JAR_74 81 14.390509
JAR_75 65 28.398336
JAR_76 38 2.1570158
JAR_77 118 5.9117274
JAR_78 111 22.661898
JAR_79 97 15.188952
JAR_80 113 47.413704
JAR_81 58 22.508038
JAR_82 94 15.809296
JAR_83 96 7.392012
JAR_84 96 23.518984
JAR_85 110 2.4408329
JAR_86 105 50.12162
JAR_87 102 51.609447
JAR_88 119 2.7303271
JAR_89 34 36.485256
JAR_90 94 12.762876
JAR_91 45 13.920592
JAR_92 42 33.727333
JAR_93 94 18.331507
JAR_94 103 29.513115
JAR_95 36 4.9827456
JAR_96 30 28.00044
JAR_97 44 52.34067
JAR_98 26 20.626938
JAR_99 78 51.49081
JAR_100 101 36.879303
JAR_101 83 17.984789
JAR_102 114 46.609905
JAR_103 52 43.402576
JAR_104 66 2.4136014
JAR_105 88 44.990303
JAR_106 102 20.53828
JAR_107 39 24.461355
JAR_108 79 27.544298
JAR_109 41 23.729008
JAR_110 28 43.972473
JAR_111 67 34.272545
JAR_112 30 17.928133
JAR_113 31 33.125664
JAR_114 90 20.039577
JAR_115 101 5.5158267
JAR_116 72 23.003294
JAR_117 68 41.476414
JAR_118 106 31.585415
JAR_119 116 27.49958
JAR_120 67 51.709167
JAR_121 52 18.597137
JAR_122 24 9.721431
JAR_123 21 17.5892
JAR_124 81 49.198006
JAR_125 105 20.24586
JAR_126 95 52.41688
JAR_127 27 9.465916
JAR_128 65 15.501459
JAR_129 20 23.788416
JAR_130 57 46.71167
JAR_131 64 22.797804
JAR_132 111 3.4398282
JAR_133 118 25.10145
JAR_134 46 31.150251
JAR_135 101 30.729578
JAR_136 54 2.3869426
JAR_137 93 47.43192
JAR_138 21 28.961945
JAR_139 32 41.422836
JAR_140 79 35.128544
JAR_141 104 33.557247
JAR_142 41 44.73811
JAR_143 114 14.903398
JAR_144 39 38.377083
JAR_145 47 15.815251
JAR_146 58 6.7815423
JAR_147 70 16.19736
JAR_148 94 33.73079
JAR_149 78 47.997982
JAR_150 114 14.428458
JAR_151 119 43.862526
JAR_152 38 31.389965
JAR_153 25 11.528657
JAR_154 37 31.268515
JAR_155 66 11.846847
JAR_156 59 45.168297
JAR_157 75 36.76576
JAR_158 97 24.813204
JAR_159 78 16.330486
JAR_160 61 45.862175
JAR_161 22 35.90351
JAR_162 45 26.98804
JAR_163 30 6.033216
JAR_164 36 51.965874
JAR_165 38 37.36281
JAR_166 58 13.048924
JAR_167 88 39.293705
JAR_168 75 5.245432
JAR_169 77 48.991802
JAR_170 74 22.348068
JAR_171 78 15.552401
JAR_172 36 14.90921
JAR_173 30 37.02023
JAR_174 58 33.79988
JAR_175 40 38.894604
JAR_176 28 27.937973
JAR_177 111 4.936655
JAR_178 71 45.12221
JAR_179 81 19.135422
JAR_180 76 47.962368
JAR_181 111 15.382767
JAR_182 99 48.253307
JAR_183 67 1.5531743
JAR_184 57 37.200737
JAR_185 70 10.983849
JAR_186 90 16.569925
JAR_187 25 10.302979
JAR_188 53 33.895103
JAR_189 53 21.05959
JAR_190 96 32.356953
JAR_191 34 50.167076
JAR_192 37 4.508283
JAR_193 120 20.18436
JAR_194 105 28.903938
JAR_195 39 52.02357
JAR_196 92 40.06993
JAR_197 28 51.191097
JAR_198 37 19.528921
JAR_199 110 21.940254
JAR_200 38 31.184498
JAR_201 30 6.8379292
JAR_202 22 5.754957
JAR_203 27 51.0251
JAR_204 109 21.038933
JAR_205 113 16.18172
JAR_206 78 52.189728
JAR_207 78 9.890086
JAR_208 110 37.47304
JAR_209 24 34.72762
JAR_210 64 2.483623
JAR_211 74 46.91003
JAR_212 42 13.500383
JAR_213 78 20.448776
JAR_214 101 16.466671
JAR_215 43 46.883003
JAR_216 75 8.0926
JAR_217 118 38.595413
JAR_218 37 43.38975
JAR_219 53 15.724031
JAR_220 109 28.465084
JAR_221 101 10.137294
JAR_222 30 1.3204299
JAR_223 62 35.148674
JAR_224 55 50.426846
JAR_225 114 11.408827
JAR_226 79 34.46883
JAR_227 107 34.428158
JAR_228 22 25.3825
JAR_229 49 44.650883
JAR_230 107 27.84395
JAR_231 76 49.52268
JAR_232 98 34.49923
JAR_233 92 7.4685082
JAR_234 97 33.865772
JAR_235 32 11.124531
JAR_236 39 45.176655
JAR_237 97 37.74862
JAR_238 112 46.483597
JAR_239 70 14.067696
JAR_240 47 20.282478
JAR_241 59 38.306896
JAR_242 71 33.57596
JAR_243 34 32.685535
JAR_244 61 14.841783
JAR_245 111 19.857927
JAR_246 56 22.632551
JAR_247 28 8.923221
JAR_248 104 10.292904
JAR_249 89 40.92785
JAR_250 61 47.543514
JAR_251 91 21.63655
JAR_252 71 18.74775
JAR_253 63 23.853498
JAR_254 120 33.6465
JAR_255 22 1.8337896
JAR_256 36 27.819448
JAR_257 117 46.637337
JAR_258 70 18.806889
JAR_259 80 10.442174
JAR_260 28 36.30525
JAR_261 119 30.35221
JAR_262 50 43.831573
JAR_263 87 4.705717
JAR_264 80 33.43751
JAR_265 34 11.8151045
JAR_266 113 33.041664
JAR_267 118 32.845974
JAR_268 84 43.74075
JAR_269 53 49.474064
JAR_270 117 49.95455
JAR_271 41 13.94236
JAR_272 82 13.257532
JAR_273 39 3.1773753
JAR_274 44 43.35066
JAR_275 65 17.013748
JAR_276 73 43.931217
JAR_277 37 5.61916
JAR_278 27 7.3253427
JAR_279 87 16.707882
JAR_280 42 8.058346
JAR_281 75 44.980568
JAR_282 97 4.051272
JAR_283 44 13.930323
JAR_284 116 49.94861
JAR_285 56 15.21064
JAR_286 89 23.801716
JAR_287 50 37.469547
JAR_288 102 6.3553
JAR_289 31 12.916027
JAR_290 65 28.710114
JAR_291 114 17.199821
JAR_292 93 47.964104
JAR_293 95 5.753698
JAR_294 38 26.566313
JAR_295 114 45.26852
JAR_296 112 34.853138
JAR_297 38 10.745762
JAR_298 105 33.77489
JAR_299 64 15.499499
JAR_300 40 16.46214
JAR_301 59 35.660572
JAR_302 120 4.6259155
JAR_303 83 3.8691936
JAR_304 64 10.233655
JAR_305 115 24.129213
JAR_306 88 22.053564
JAR_307 70 46.83706
JAR_308 115 27.414185
JAR_309 60 6.691566
JAR_310 29 31.88298
JAR_311 39 39.137012
JAR_312 104 44.828102
JAR_313 115 5.891029
JAR_314 61 5.690759
JAR_315 62 23.761496
JAR_316 70 44.66229
JAR_317 38 25.862087
JAR_318 100 45.129448
JAR_319 34 31.09483
JAR_320 89 51.92437
JAR_321 26 7.9798512
JAR_322 65 4.691457
JAR_323 53 22.07746
JAR_324 114 9.4623995
JAR_325 47 6.065691
JAR_326 63 18.212793
JAR_327 72 41.407772
JAR_328 49 10.158948
JAR_329 69 26.668133
JAR_330 55 44.041943
JAR_331 84 32.71312
JAR_332 76 33.637436
JAR_333 75 18.763145
JAR_334 49 45.024384
JAR_335 25 11.64663
JAR_336 81 40.543617
JAR_337 41 48.342953
JAR_338 82 21.178024
JAR_339 28 23.191566
JAR_340 49 7.7901316
JAR_341 37 39.287518
JAR_342 59 49.160057
JAR_343 43 40.479736
JAR_344 41 13.976946
JAR_345 72 13.737855
JAR_346 82 33.750507
JAR_347 115 26.55571
JAR_348 46 35.32566
JAR_349 93 33.81527
JAR_350 78 18.002995
JAR_351 96 34.2434
JAR_352 88 48.690514
JAR_353 117 34.055714
JAR_354 115 13.437953
JAR_355 108 26.896706
JAR_356 29 25.03399
JAR_357 37 3.25337
JAR_358 60 17.37885
JAR_359 106 39.04082
JAR_360 104 25.179937
JAR_361 59 12.532597
JAR_362 119 25.256674
JAR_363 100 26.23588
JAR_364 56 6.8820467
JAR_365 24 9.692416
JAR_366 59 12.433147
JAR_367 21 48.819542
